음소키,이미지파일,랜드마크파일,해부구조,음성타입
ㅏ_입,A.png,A_mouth_landmarks.json,mouth,vowel
ㅏ_혀,aa.png,aa_manual_landmarks.json,tongue,vowel
ㅔ_입,E.png,E_mouth_landmarks.json,mouth,vowel
ㅔ_혀,ee.png,ee_manual_landmarks.json,tongue,vowel
ㅐ_입,E.png,E_mouth_landmarks.json,mouth,vowel
ㅐ_혀,ee.png,ee_manual_landmarks.json,tongue,vowel
ㅓ_입,EO.png,EO_mouth_landmarks.json,mouth,vowel
ㅓ_혀,eo-oo.png,eo-oo_manual_landmarks.json,tongue,vowel
ㅣ_입,II.png,II_mouth_landmarks.json,mouth,vowel
ㅣ_혀,iiJ.png,iiJ_manual_landmarks.json,tongue,vowel
ㅡ_입,EU.png,EU_mouth_landmarks.json,mouth,vowel
ㅡ_혀,eui-uuW.png,eui-uuW_manual_landmarks.json,tongue,vowel
ㅗ_입,OO.png,OO_mouth_landmarks.json,mouth,vowel
ㅗ_혀,eo-oo.png,eo-oo_manual_landmarks.json,tongue,vowel
ㅜ_입,UU.png,UU_mouth_landmarks.json,mouth,vowel
ㅜ_혀,eui-uuW.png,eui-uuW_manual_landmarks.json,tongue,vowel
ㅟ_입,WW-W.png,WW-W_mouth_landmarks.json,mouth,vowel
ㅟ_혀,iiJ.png,iiJ_manual_landmarks.json,tongue,vowel
ㅚ_입,WW-W.png,WW-W_mouth_landmarks.json,mouth,vowel
ㅚ_혀,ee.png,ee_manual_landmarks.json,tongue,vowel
ㅈ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅈ_혀,J.png,J_manual_landmarks.json,tongue,consonant
ㅉ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅉ_혀,J.png,J_manual_landmarks.json,tongue,consonant
ㅊ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅊ_혀,J.png,J_manual_landmarks.json,tongue,consonant
ㄱ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㄱ_혀,KNG.png,KNG_manual_landmarks.json,tongue,consonant
ㄲ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㄲ_혀,KNG.png,KNG_manual_landmarks.json,tongue,consonant
ㅋ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅋ_혀,KNG.png,KNG_manual_landmarks.json,tongue,consonant
ㅇ_입,Rest.png,Rest_mouth_landmarks.json,mouth,consonant
ㅇ_혀,KNG.png,KNG_manual_landmarks.json,tongue,consonant
ㄹ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㄹ_혀,L.png,L_manual_landmarks.json,tongue,consonant
ㅁ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅁ_혀,PM2.png,PM2_manual_landmarks.json,tongue,consonant
ㅂ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅂ_혀,PM2.png,PM2_manual_landmarks.json,tongue,consonant
ㅃ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅃ_혀,PM2.png,PM2_manual_landmarks.json,tongue,consonant
ㅍ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅍ_혀,PM2.png,PM2_manual_landmarks.json,tongue,consonant
ㅅ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅅ_혀,S.png,S_manual_landmarks.json,tongue,consonant
ㅆ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅆ_혀,S.png,S_manual_landmarks.json,tongue,consonant
ㅅ_경구개_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅅ_경구개_혀,SH.png,SH_manual_landmarks.json,tongue,consonant
ㅆ_경구개_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅆ_경구개_혀,SH.png,SH_manual_landmarks.json,tongue,consonant
ㄴ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㄴ_혀,TN.png,TN_manual_landmarks.json,tongue,consonant
ㄷ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㄷ_혀,TN.png,TN_manual_landmarks.json,tongue,consonant
ㄸ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㄸ_혀,TN.png,TN_manual_landmarks.json,tongue,consonant
ㅌ_입,PM.png,PM_mouth_landmarks.json,mouth,consonant
ㅌ_혀,TN.png,TN_manual_landmarks.json,tongue,consonant
ㅎ_입,Rest.png,Rest_mouth_landmarks.json,mouth,consonant
ㅎ_혀,KNG.png,KNG_manual_landmarks.json,tongue,consonant
휴지_입,Rest.png,Rest_mouth_landmarks.json,mouth,rest
